iter	Logloss
0	0.6876286316
1	0.6822489527
2	0.6767799409
3	0.6713684167
4	0.6663607743
5	0.6624707676
6	0.6586029345
7	0.6553804525
8	0.6502319122
9	0.6469182064
10	0.6418977106
11	0.6378685154
12	0.6331881196
13	0.6277081274
14	0.6224367954
15	0.6198891346
16	0.6148345272
17	0.6100994842
18	0.6063116809
19	0.6014648792
20	0.5963975417
21	0.5922215745
22	0.5874933874
23	0.5828013338
24	0.5788821674
25	0.5744228041
26	0.5698289823
27	0.5650754119
28	0.5616481517
29	0.5576583257
30	0.5543983812
31	0.5506979463
32	0.548215478
33	0.5438802414
34	0.5413767027
35	0.5383845105
36	0.5351657234
37	0.5308435594
38	0.5274596756
39	0.5249130849
40	0.5217723309
41	0.5191255835
42	0.516210346
43	0.5123529647
44	0.509174732
45	0.506636228
46	0.5044657355
47	0.5015821686
48	0.4991233852
49	0.4956447331
50	0.4928511522
51	0.4896148769
52	0.4874190661
53	0.4861526386
54	0.4840300676
55	0.4820502859
56	0.4785252631
57	0.4751545105
58	0.4729707046
59	0.4708787371
60	0.4682682787
61	0.466117664
62	0.4637708267
63	0.4613875469
64	0.4587669314
65	0.4557291917
66	0.4533842367
67	0.4504056456
68	0.4486555676
69	0.4470090746
70	0.4446085051
71	0.4423134567
72	0.4404307881
73	0.4374007826
74	0.4357942391
75	0.434358962
76	0.433575067
77	0.431402883
78	0.4296036058
79	0.4273369302
80	0.4256250516
81	0.422442751
82	0.4214970017
83	0.4195765596
84	0.4162960172
85	0.4137237384
86	0.4117950393
87	0.4094748216
88	0.4070279989
89	0.4061539947
90	0.4044065787
91	0.4025873192
92	0.4003088361
93	0.3994705324
94	0.3982367468
95	0.3961761039
96	0.3940406274
97	0.3924853
98	0.3912530723
99	0.389691927
100	0.3887695763
101	0.3872198295
102	0.3855508676
103	0.3836741382
104	0.3819284751
105	0.3801659531
106	0.3789617793
107	0.3775107669
108	0.3759275363
109	0.374553317
110	0.3724620298
111	0.3715131547
112	0.3696113438
113	0.3680798309
114	0.3663159931
115	0.3641744057
116	0.3626057615
117	0.3602413909
118	0.3584488236
119	0.3558741349
120	0.3550263347
121	0.3543361388
122	0.3526935101
123	0.3508948387
124	0.3494252736
125	0.3479288029
126	0.3460622373
127	0.3445384461
128	0.343087934
129	0.3414104589
130	0.3404039706
131	0.3399524228
132	0.3391100987
133	0.3379292322
134	0.3368291108
135	0.3354223333
136	0.3337988083
137	0.3324351737
138	0.3313733735
139	0.3300274472
140	0.3283663017
141	0.3266312394
142	0.3255145757
143	0.3244242814
144	0.3235781751
145	0.3221786714
146	0.321932013
147	0.3217472982
148	0.3208155623
149	0.3199935379
150	0.3186699334
151	0.3175467332
152	0.3158063913
153	0.3148312043
154	0.3136895797
155	0.3129527875
156	0.3114013941
157	0.3095743887
158	0.3083533436
159	0.3070005978
160	0.3064927169
161	0.3053105217
162	0.3044844523
163	0.3021491624
164	0.3013003893
165	0.3011140065
166	0.300249636
167	0.2990544879
168	0.2986993964
169	0.2972466946
170	0.2965256978
171	0.2950543484
172	0.2939182583
173	0.2932307792
174	0.2915074647
175	0.289990094
176	0.2892406547
177	0.2876729934
178	0.2866171045
179	0.2853710019
180	0.2839649282
181	0.2827468485
182	0.2819653645
183	0.280919612
184	0.2800227351
185	0.2786775147
186	0.2777378381
187	0.2768697961
188	0.2766758478
189	0.2759545432
190	0.274722372
191	0.273245856
192	0.2723286849
193	0.2711167693
194	0.2698365301
195	0.2688231482
196	0.2684979386
197	0.2671036266
198	0.2662511617
199	0.2656193901
200	0.2642893455
201	0.2631373537
202	0.2621888491
203	0.2610973743
204	0.2597591171
205	0.258677218
206	0.2578257028
207	0.2565600533
208	0.2560732904
209	0.2553364831
210	0.2547574514
211	0.2535436131
212	0.2524389868
213	0.2512970495
214	0.2504357368
215	0.2493282742
216	0.2482184495
217	0.2473670088
218	0.2465611326
219	0.2456905554
220	0.2450433108
221	0.2440182216
222	0.2431995468
223	0.2418222083
224	0.240885424
225	0.2399803607
226	0.2392491746
227	0.238273065
228	0.2372619837
229	0.2364927986
230	0.2355185958
231	0.2351300958
232	0.2342362993
233	0.2338450736
234	0.2333580117
235	0.2328641454
236	0.2322621604
237	0.2314683576
238	0.2309194029
239	0.2305034034
240	0.2297642644
241	0.2291447945
242	0.2278535453
243	0.2268938081
244	0.225835597
245	0.2251638789
246	0.2246245303
247	0.2239572063
248	0.2230643854
249	0.222361052
250	0.2216331616
251	0.2205132328
252	0.2197744214
253	0.2190145643
254	0.2184536414
255	0.2176092935
256	0.2168726728
257	0.2161722168
258	0.2153702147
259	0.214698463
260	0.2138455248
261	0.2137172215
262	0.2129579438
263	0.2120664546
264	0.2111822499
265	0.2106695266
266	0.2099726156
267	0.2098601365
268	0.2086240308
269	0.2080681966
270	0.2080370834
271	0.2074496166
272	0.2066441137
273	0.2059241896
274	0.2054734055
275	0.2050124671
276	0.2046516406
277	0.2039420183
278	0.2032832766
279	0.2028078304
280	0.201817497
281	0.2013130187
282	0.2003310737
283	0.1994648724
284	0.1993042392
285	0.1988028534
286	0.1980807765
287	0.1978992733
288	0.1973723165
289	0.1968196569
290	0.1963126899
291	0.1957716196
292	0.1956595151
293	0.1951938869
294	0.1946882747
295	0.1941656934
296	0.1935440056
297	0.1928840408
298	0.1923710601
299	0.1915418551
300	0.1908950726
301	0.190139124
302	0.189299129
303	0.1890357968
304	0.1884027718
305	0.1879999129
306	0.1875403995
307	0.186966033
308	0.1864762617
309	0.1858227925
310	0.1852186515
311	0.1848428934
312	0.184137754
313	0.1834886093
314	0.182857967
315	0.1825484539
316	0.1823040153
317	0.181756814
318	0.1815436415
319	0.1811564068
320	0.1803990466
321	0.1797250038
322	0.1790845907
323	0.1786303418
324	0.1779352795
325	0.1774208452
326	0.1766916292
327	0.1760835953
328	0.1755530945
329	0.1749848227
330	0.1745459179
331	0.1740204226
332	0.1736349034
333	0.1730342985
334	0.1725874522
335	0.1718569763
336	0.1710977707
337	0.170696531
338	0.1703771096
339	0.1695841771
340	0.1692895263
341	0.1689623348
342	0.168454552
343	0.1679665623
344	0.1672098172
345	0.1667859659
346	0.1661736002
347	0.1658107253
348	0.1652752768
349	0.1648745053
350	0.1643197722
351	0.1639807446
352	0.1635797821
353	0.1631240839
354	0.1625900529
355	0.1623193468
356	0.1617866536
357	0.1614472475
358	0.1612113146
359	0.16087224
360	0.1602749267
361	0.1598496806
362	0.159342852
363	0.1588482006
364	0.1583186713
365	0.1577787117
366	0.1577157883
367	0.1574124147
368	0.1569075543
369	0.1564176
370	0.1561260722
371	0.1556889037
372	0.1553100755
373	0.1548320245
374	0.1544408491
375	0.1542611538
376	0.153810475
377	0.1532720589
378	0.1530569631
379	0.1526967217
380	0.1522990487
381	0.1516835883
382	0.1511119671
383	0.1508080123
384	0.1503019759
385	0.149854276
386	0.1492770557
387	0.1488128095
388	0.1483922216
389	0.1479312584
390	0.1472815008
391	0.1469798047
392	0.1464693104
393	0.1461428109
394	0.1455630449
395	0.1451477451
396	0.1446698463
397	0.1440914993
398	0.1436544198
399	0.1431174908
400	0.1429529582
401	0.1425502824
402	0.1420360799
403	0.1416778823
404	0.1412756875
405	0.1405887625
406	0.1400472458
407	0.1396205656
408	0.139045041
409	0.138466417
410	0.1379905023
411	0.1375838717
412	0.1375245493
413	0.1371431249
414	0.1368092638
415	0.1364081116
416	0.1360286553
417	0.1356381253
418	0.1352456357
419	0.1347692405
420	0.1345986887
421	0.1343764621
422	0.1339151556
423	0.1335965565
424	0.1330630313
425	0.1325164639
426	0.1320951585
427	0.1317338513
428	0.1313762016
429	0.1310391497
430	0.1306564684
431	0.1302317438
432	0.1299555096
433	0.1295283125
434	0.1291246593
435	0.1285750972
436	0.1282410847
437	0.1278240055
438	0.1274193001
439	0.1271438988
440	0.1267221538
441	0.1262857168
442	0.1258630512
443	0.1254614211
444	0.1251083346
445	0.1246843849
446	0.1242949464
447	0.1239024016
448	0.1235428264
449	0.1231376716
450	0.1227054265
451	0.1221525607
452	0.1218874989
453	0.1214362815
454	0.1209931376
455	0.1206095445
456	0.1202831291
457	0.1200393964
458	0.1199271414
459	0.1195941399
460	0.1192817595
461	0.118967885
462	0.1185980641
463	0.1182042712
464	0.1178879725
465	0.1175144535
466	0.1172272734
467	0.1168885778
468	0.1165362112
469	0.1161047375
470	0.115812811
471	0.1154813214
472	0.1150266186
473	0.1147344458
474	0.1143965556
475	0.1141263172
476	0.1137537928
477	0.1136159708
478	0.1132570659
479	0.1129386647
480	0.1125762453
481	0.1123958613
482	0.1119942078
483	0.1116512757
484	0.1113080072
485	0.1110801077
486	0.110678825
487	0.1102909179
488	0.1099633954
489	0.1095969113
490	0.1091928494
491	0.1088839109
492	0.108563695
493	0.108181179
494	0.1079105898
495	0.1074218484
496	0.1071865145
497	0.1068886338
498	0.1065894037
499	0.1061822014
500	0.1058255269
501	0.1055766803
502	0.1052391288
503	0.1050819942
504	0.1047490919
505	0.1044030161
506	0.104068362
507	0.1037911534
508	0.1035097103
509	0.103168248
510	0.1028585552
511	0.1025643575
512	0.1022080465
513	0.1020180724
514	0.1016709247
515	0.1013623592
516	0.1011471937
517	0.1008708142
518	0.1005667039
519	0.1002977761
520	0.0999034844
521	0.09963005152
522	0.09936260214
523	0.09910261515
524	0.09877588964
525	0.09837672256
526	0.09810414778
527	0.09787807558
528	0.09756584453
529	0.09736743595
530	0.09702931537
531	0.09678996547
532	0.09649318679
533	0.09627826666
534	0.09604420384
535	0.09587900953
536	0.09557697532
537	0.09528535652
538	0.09501408083
539	0.09480651918
540	0.09447578469
541	0.09420504442
542	0.09395215558
543	0.09366344566
544	0.09342698402
545	0.0932843215
546	0.09293176161
547	0.09270403097
548	0.09247587137
549	0.09229698126
550	0.09200632919
551	0.09175167974
552	0.09151961629
553	0.09126374699
554	0.09103065202
555	0.09074718145
556	0.09046956314
557	0.09013693309
558	0.08965196619
559	0.08944169779
560	0.08918549643
561	0.08887232326
562	0.0885589142
563	0.0884053147
564	0.08814485671
565	0.08783533917
566	0.08758963156
567	0.08739071408
568	0.08693307411
569	0.08663868716
570	0.08636836506
571	0.08612399921
572	0.08579423852
573	0.08570663858
574	0.08547143981
575	0.08522547794
576	0.08502327462
577	0.08477625092
578	0.08450495691
579	0.08432348689
580	0.08404802912
581	0.08378225822
582	0.08353506855
583	0.08330810117
584	0.08320074023
585	0.08282253609
586	0.08258909754
587	0.08233344217
588	0.08223216116
589	0.08197921373
590	0.08176047389
591	0.08148594432
592	0.08127811915
593	0.08098549824
594	0.08074012865
595	0.08046448762
596	0.08022245975
597	0.0800029185
598	0.07975585335
599	0.07953933429
600	0.07927740858
601	0.07906822745
602	0.07887877729
603	0.07864688637
604	0.07850254678
605	0.07834114884
606	0.07813401028
607	0.07792233637
608	0.07769588492
609	0.0774958081
610	0.07722950316
611	0.07698009026
612	0.07675524364
613	0.07663340807
614	0.07640221668
615	0.07621123372
616	0.07605056615
617	0.07583282956
618	0.07566030366
619	0.07544528586
620	0.07518927509
621	0.07495099674
622	0.07475549428
623	0.07454524155
624	0.0742920805
625	0.07408462636
626	0.07392833331
627	0.07372336946
628	0.0735020596
629	0.07332469681
630	0.07307744681
631	0.07277814701
632	0.0726026369
633	0.07242838507
634	0.0721818723
635	0.07196313121
636	0.0717513849
637	0.07145939275
638	0.07131182527
639	0.07112061074
640	0.0709314166
641	0.07073089091
642	0.07055750703
643	0.07040584404
644	0.07020473193
645	0.06999132765
646	0.06979275983
647	0.06960532489
648	0.06941987553
649	0.06923672364
650	0.06905648952
651	0.06885789446
652	0.06868069525
653	0.06843959814
654	0.06823995324
655	0.06806320419
656	0.06788940235
657	0.06770928594
658	0.06754353056
659	0.06738902868
660	0.06723941404
661	0.06702913631
662	0.06686248446
663	0.06670920452
664	0.06653242742
665	0.06636689299
666	0.06620599128
667	0.06604210022
668	0.06587929116
669	0.06571760093
670	0.06555413635
671	0.06539551216
672	0.06523307451
673	0.06502541579
674	0.06487565441
675	0.06471588587
676	0.06452650551
677	0.06437122158
678	0.06421686405
679	0.06406436552
680	0.0639032838
681	0.06376417803
682	0.063627082
683	0.06338894894
684	0.06323705965
685	0.06302012614
686	0.06287088896
687	0.06272329767
688	0.06257725319
689	0.06242126333
690	0.06227840102
691	0.0621078762
692	0.06194030686
693	0.06179739796
694	0.06165560206
695	0.06149147275
696	0.06132942691
697	0.06119043153
698	0.0610554435
699	0.06091751933
700	0.06078103925
701	0.06062984856
702	0.06049932218
703	0.06036339709
704	0.0602274752
705	0.06010822202
706	0.05997539808
707	0.05983683784
708	0.05969860507
709	0.05954423097
710	0.05939253719
711	0.05926231505
712	0.05913369071
713	0.05900622168
714	0.05886347309
715	0.05873787951
716	0.05861110176
717	0.05849942402
718	0.0583745698
719	0.05825052085
720	0.05811135137
721	0.05792053189
722	0.05778196094
723	0.05762775495
724	0.05749402632
725	0.05737260322
726	0.05725165812
727	0.05711051702
728	0.05699130362
729	0.05682907656
730	0.05670606015
731	0.05658953333
732	0.05647260871
733	0.05635720196
734	0.05624228861
735	0.05608436307
736	0.05597102137
737	0.05584001888
738	0.05570611709
739	0.05557350951
740	0.05546081785
741	0.05530559499
742	0.05517675252
743	0.05504890501
744	0.05493890122
745	0.05481272341
746	0.05470437985
747	0.05459596324
748	0.05447605586
749	0.05436949141
750	0.05424015875
751	0.05412261715
752	0.05401667319
753	0.05386922834
754	0.05374418786
755	0.0536393134
756	0.05351602988
757	0.05341236666
758	0.05330992092
759	0.05319721671
760	0.05307946431
761	0.05297803515
762	0.05285943424
763	0.05275840466
764	0.05265847324
765	0.05255931556
766	0.05244543592
767	0.05234690619
768	0.05224294083
769	0.05212561362
770	0.05202818379
771	0.05191676713
772	0.05181979581
773	0.05172318272
774	0.05162694421
775	0.05153149799
776	0.0513973502
777	0.05126403456
778	0.05116972456
779	0.051100122
780	0.05100688852
781	0.05089514655
782	0.05076435183
783	0.05067229335
784	0.05058071565
785	0.05046967601
786	0.0503785209
787	0.05027094903
788	0.05017497181
789	0.05007872221
790	0.04998895847
791	0.04988208503
792	0.04979253046
793	0.04970416161
794	0.04959703061
795	0.0495093935
796	0.04942175926
797	0.04931545086
798	0.04921201454
799	0.04910773994
800	0.04902155372
801	0.04893551617
802	0.0488277514
803	0.04874238004
804	0.04864466961
805	0.04856035717
806	0.04847524418
807	0.04839100333
808	0.04827210937
809	0.04818906524
810	0.04810613715
811	0.04802414912
812	0.04792419025
813	0.04784276495
814	0.04776134963
815	0.04764533741
816	0.04754704849
817	0.04746700601
