iter	Passed	Remaining
0	7	7261
1	11	5921
2	16	5338
3	20	5011
4	22	4566
5	24	4126
6	26	3810
7	28	3540
8	30	3381
9	32	3221
10	34	3105
11	36	2995
12	38	2901
13	39	2815
14	41	2741
15	42	2638
16	44	2570
17	46	2510
18	47	2464
19	49	2427
20	51	2382
21	52	2340
22	54	2301
23	55	2266
24	57	2233
25	58	2203
26	60	2179
27	62	2157
28	64	2159
29	66	2148
30	67	2122
31	69	2104
32	71	2087
33	72	2069
34	74	2046
35	75	2032
36	77	2021
37	79	2015
38	81	2007
39	82	1989
40	84	1978
41	86	1965
42	87	1953
43	89	1942
44	91	1933
45	92	1925
46	94	1919
47	96	1915
48	98	1905
49	99	1895
50	101	1885
51	102	1876
52	104	1868
53	105	1854
54	107	1846
55	109	1847
56	111	1852
57	113	1850
58	115	1847
59	117	1843
60	119	1836
61	120	1830
62	122	1824
63	124	1822
64	126	1817
65	128	1812
66	129	1807
67	131	1802
68	133	1797
69	134	1791
70	136	1787
71	138	1786
72	140	1785
73	142	1785
74	144	1781
75	146	1775
76	147	1767
77	149	1763
78	150	1758
79	152	1754
80	154	1751
81	156	1749
82	157	1743
83	159	1739
84	161	1736
85	163	1733
86	164	1730
87	166	1726
88	168	1723
89	169	1718
90	172	1720
91	174	1720
92	176	1718
93	177	1712
94	179	1710
95	181	1707
96	183	1704
97	184	1701
98	186	1700
99	189	1703
100	190	1698
101	192	1695
102	194	1691
103	195	1687
104	197	1684
105	199	1681
106	201	1678
107	203	1677
108	205	1677
109	206	1673
110	208	1670
111	210	1666
112	211	1663
113	213	1660
114	215	1657
115	217	1655
116	219	1653
117	220	1651
118	222	1649
119	224	1647
120	226	1642
121	227	1638
122	229	1636
123	231	1634
124	233	1631
125	235	1631
126	237	1629
127	238	1627
128	240	1624
129	242	1622
130	244	1619
131	245	1615
132	247	1613
133	249	1614
134	252	1616
135	254	1615
136	256	1613
137	257	1610
138	259	1608
139	261	1605
140	263	1603
141	265	1602
142	267	1600
143	268	1597
144	270	1595
145	272	1592
146	273	1588
147	275	1583
148	276	1580
149	278	1578
150	280	1577
151	282	1577
152	284	1574
153	286	1572
154	288	1570
155	289	1567
156	291	1564
157	293	1562
158	295	1560
159	297	1560
160	298	1557
161	300	1555
162	302	1553
163	304	1550
164	305	1548
165	307	1544
166	309	1541
167	311	1540
168	312	1536
169	314	1533
170	315	1531
171	317	1529
172	319	1527
173	321	1524
174	322	1522
175	324	1520
176	326	1519
177	328	1519
178	330	1517
179	332	1514
180	334	1512
181	335	1509
182	337	1507
183	339	1505
184	341	1503
185	343	1503
186	345	1501
187	347	1499
188	348	1496
189	350	1494
190	352	1492
191	354	1490
192	356	1488
193	358	1488
194	360	1487
195	362	1485
196	364	1484
197	366	1482
198	368	1481
199	370	1480
200	371	1478
201	374	1478
202	376	1477
203	378	1476
204	380	1474
205	381	1472
206	383	1469
207	385	1467
208	387	1465
209	389	1464
210	391	1464
211	393	1462
212	395	1459
213	396	1458
214	398	1455
215	400	1454
216	402	1452
217	404	1450
218	406	1448
219	408	1447
220	410	1445
221	411	1443
222	413	1441
223	415	1439
224	417	1437
225	419	1436
226	421	1436
227	423	1434
